alias,normalized_alias,entity_id,ambiguity_count,resolution_status
悲敬二田,悲敬二田,ent_cfc493617878,1,unique_alias
悲旋润菩萨,悲旋润菩萨,ent_01e2d5bb4f7d,1,unique_alias
悲旋潤菩薩,悲旋润菩萨,ent_01e2d5bb4f7d,1,unique_alias
悲无量心,悲无量心,ent_1fb4c2da6a97,1,unique_alias
悲無量心,悲无量心,ent_1fb4c2da6a97,1,unique_alias
悲智圆满,悲智圆满,ent_97524903ce8e,1,unique_alias
悲智圓滿,悲智圆满,ent_97524903ce8e,1,unique_alias
悲济会,悲济会,ent_b90d0ede0934,1,unique_alias
悲濟會,悲济会,ent_b90d0ede0934,1,unique_alias
悲生曼荼罗,悲生曼荼罗,ent_85deeb67fb54,1,unique_alias
悲生曼荼羅,悲生曼荼罗,ent_85deeb67fb54,1,unique_alias
悲生眼印,悲生眼印,ent_c6f9d84401b0,1,unique_alias
悲田院,悲田院,ent_d7c3fcd84dcf,1,unique_alias
情有理无,情有理无,ent_41248f5db3b3,1,unique_alias
情有理無,情有理无,ent_41248f5db3b3,1,unique_alias
惊觉一切如来印,惊觉一切如来印,ent_f7c2cb7c31b8,1,unique_alias
驚覺一切如來印,惊觉一切如来印,ent_f7c2cb7c31b8,1,unique_alias
惊觉真言,惊觉真言,ent_dc9b89f89738,1,unique_alias
驚覺真言,惊觉真言,ent_dc9b89f89738,1,unique_alias
惑业苦,惑业苦,ent_89a6c67d6edd,1,unique_alias
惑業苦,惑业苦,ent_89a6c67d6edd,1,unique_alias
惛沈,惛沈,ent_cc54e764eea4,1,unique_alias
惜囊,惜囊,ent_82892f6a5ab0,1,unique_alias
惟干頗羅天,惟干颇罗天,ent_f1a92f32aa91,1,unique_alias
惟干颇罗天,惟干颇罗天,ent_f1a92f32aa91,1,unique_alias
惠中寺,惠中寺,ent_ee7e2d78bc35,1,unique_alias
惠能,惠能,ent_f9ee2a341883,1,unique_alias
惠能十大弟子,惠能十大弟子,ent_3988471b6e7d,1,unique_alias
惠能大师,惠能大师,ent_f9ee2a341883,1,unique_alias
惠能大師,惠能大师,ent_f9ee2a341883,1,unique_alias
惧曩,惧曩,ent_f0b5d29d0b91,1,unique_alias
懼曩,惧曩,ent_f0b5d29d0b91,1,unique_alias
惮哆家瑟诧,惮哆家瑟诧,ent_06764ad177ce,1,unique_alias
憚哆家瑟詫,惮哆家瑟诧,ent_06764ad177ce,1,unique_alias
想受滅無為,想受灭无为,ent_91f4505cf078,1,unique_alias
想受灭无为,想受灭无为,ent_91f4505cf078,1,unique_alias
想地狱,想地狱,ent_6d14c8da8799,1,unique_alias
想地獄,想地狱,ent_6d14c8da8799,1,unique_alias
想念,想念,ent_c8daa3980bd1,1,unique_alias
想觀,想观,ent_4d5d7c161ced,1,unique_alias
想观,想观,ent_4d5d7c161ced,1,unique_alias
想顛到,想颠到,ent_3dad7e739664,1,unique_alias
想颠到,想颠到,ent_3dad7e739664,1,unique_alias
惹那,惹那,ent_4839cebee371,1,unique_alias
惹那战达罗,惹那战达罗,ent_0ddf9b68dfa0,1,unique_alias
惹那戰達羅,惹那战达罗,ent_0ddf9b68dfa0,1,unique_alias
惹那跋陀罗,惹那跋陀罗,ent_1f80d7b3db30,1,unique_alias
惹那跋陀羅,惹那跋陀罗,ent_1f80d7b3db30,1,unique_alias
愍忌,愍忌,ent_aef161a22b62,1,unique_alias
意处,意处,ent_cd5b484f400b,1,unique_alias
意處,意处,ent_cd5b484f400b,1,unique_alias
意安乐行,意安乐行,ent_47e12a01a0da,1,unique_alias
意安樂行,意安乐行,ent_47e12a01a0da,1,unique_alias
意巧,意巧,ent_ef7b0a1d2a2e,1,unique_alias
意性化身,意性化身,ent_046e490ecabe,1,unique_alias
意愤天,意愤天,ent_d3f50bf9369c,1,unique_alias
意憤天,意愤天,ent_d3f50bf9369c,1,unique_alias
意成天,意成天,ent_27c2b8a12286,1,unique_alias
意成身,意成身,ent_0d9cde466ebe,1,unique_alias
意根坐断,意根坐断,ent_78adfbf2d781,1,unique_alias
意根坐斷,意根坐断,ent_78adfbf2d781,1,unique_alias
意气金刚女,意气金刚女,ent_cece03cb4e95,1,unique_alias
意氣金剛女,意气金刚女,ent_cece03cb4e95,1,unique_alias
意猿,意猿,ent_52a824e5b8d8,1,unique_alias
意生八叶大莲华王,意生八叶大莲华王,ent_5dae2f40a433,1,unique_alias
意生八葉大蓮華王,意生八叶大莲华王,ent_5dae2f40a433,1,unique_alias
意生化身,意生化身,ent_2744545b5ada,1,unique_alias
意生身,意生身,ent_756da496d759,1,unique_alias
意生金刚女,意生金刚女,ent_02e8ae595572,1,unique_alias
意生金剛女,意生金刚女,ent_02e8ae595572,1,unique_alias
意經,意经,ent_4125b59fb730,1,unique_alias
意经,意经,ent_4125b59fb730,1,unique_alias
意路不到,意路不到,ent_4156bd7172ac,1,unique_alias
意輪,意轮,ent_fecddaafd96a,1,unique_alias
意轮,意轮,ent_fecddaafd96a,1,unique_alias
意近行,意近行,ent_edba313bd31e,1,unique_alias
意馬心猿,意马心猿,ent_179acba2cbd3,1,unique_alias
意马心猿,意马心猿,ent_179acba2cbd3,1,unique_alias
愚僧,愚僧,ent_70d4bc4c9345,1,unique_alias
愚夫所行禅,愚夫所行禅,ent_0c3871efac12,1,unique_alias
愚夫所行禪,愚夫所行禅,ent_0c3871efac12,1,unique_alias
愚法二乘,愚法二乘,ent_15423a947bac,1,unique_alias
愚痴,愚痴,ent_c08021ab9346,1,unique_alias
愚痴斋,愚痴斋,ent_bf17e5190cc3,1,unique_alias
愚痴齋,愚痴斋,ent_bf17e5190cc3,1,unique_alias
愚童,愚童,ent_2a7fb06d5f71,1,unique_alias
愚童持斋心,愚童持斋心,ent_e48c6113bd78,1,unique_alias
愚童持齋心,愚童持斋心,ent_e48c6113bd78,1,unique_alias
愚谷元智,愚谷元智,ent_ed0f41aa228f,1,unique_alias
愚鈍物,愚钝物,ent_f66edbe32e6e,1,unique_alias
愚钝物,愚钝物,ent_f66edbe32e6e,1,unique_alias
感应,感应,ent_0e0105fc5bd1,1,unique_alias
感應,感应,ent_0e0105fc5bd1,1,unique_alias
感应使者,感应使者,ent_c770166259fd,1,unique_alias
感應使者,感应使者,ent_c770166259fd,1,unique_alias
感应妙,感应妙,ent_14aeb5d9d2a4,1,unique_alias
感應妙,感应妙,ent_14aeb5d9d2a4,1,unique_alias
感应道交,感应道交,ent_59609223f1f9,1,unique_alias
感應道交,感应道交,ent_59609223f1f9,1,unique_alias
感进,感进,ent_d4b1fa5eace0,1,unique_alias
感進,感进,ent_d4b1fa5eace0,1,unique_alias
感通传,感通传,ent_524fdbdf574b,1,unique_alias
感通傳,感通传,ent_524fdbdf574b,1,unique_alias
感通录,感通录,ent_2f31f04b21a8,1,unique_alias
感通錄,感通录,ent_2f31f04b21a8,1,unique_alias
感驗,感验,ent_2c849fc0187a,1,unique_alias
感验,感验,ent_2c849fc0187a,1,unique_alias
愿主,愿主,ent_9154c853dc8c,1,unique_alias
願主,愿主,ent_9154c853dc8c,1,unique_alias
愿人,愿人,ent_d51ae434b0e5,1,unique_alias
願人,愿人,ent_d51ae434b0e5,1,unique_alias
愿佛,愿佛,ent_653db3f9ffce,1,unique_alias
願佛,愿佛,ent_653db3f9ffce,1,unique_alias
愿作佛心,愿作佛心,ent_f65b9f692edf,1,unique_alias
願作佛心,愿作佛心,ent_f65b9f692edf,1,unique_alias
愿作度生,愿作度生,ent_1bc6eb155ef4,1,unique_alias
願作度生,愿作度生,ent_1bc6eb155ef4,1,unique_alias
愿作心师,愿作心师,ent_79ed40ae7b5b,1,unique_alias
願作心師,愿作心师,ent_79ed40ae7b5b,1,unique_alias
愿偈,愿偈,ent_0feedd01f22b,1,unique_alias
願偈,愿偈,ent_0feedd01f22b,1,unique_alias
愿公,愿公,ent_64a9bb5136f4,1,unique_alias
願公,愿公,ent_64a9bb5136f4,1,unique_alias
愿力信心,愿力信心,ent_e51fd003a9e6,1,unique_alias
