entity_id,name,entity_type,mention_count,document_count,out_degree,in_degree,degree,relation_count,weighted_degree,evidence_count,pagerank,betweenness,harmonic_centrality,core_number,community_id,community_size,participation_coefficient,relation_family_count,view_count,views,neighbor_type_entropy,relation_rate,pagerank_percentile,betweenness_percentile,participation_percentile,bridge_score,degree_rank,pagerank_rank,betweenness_rank,bridge_rank
ent_1073c409dc6a,北魏孝明帝,Person,7,7,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,99,2,0.0,1,1,propagation_organization,0.0,14.285714285714286,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_0f782825fbe5,南屏別院,Institution,102,64,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,160,2,0.0,1,1,propagation_organization,0.0,0.9803921568627451,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_13eab252fe50,南島佛光山,Institution,42,18,1,0,1,1,1,1,0.000286815404370145,0.0,290.4269841269819,1,5,111,0.0,1,1,propagation_organization,0.0,2.380952380952381,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_31df7c0076c3,台灣大學,Institution,314,212,1,0,1,1,1,1,0.000286815404370145,0.0,269.9781746031714,1,5,111,0.0,1,1,propagation_organization,0.0,0.3184713375796178,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_4dfe729df6b3,吳廷琰,Person,60,31,1,0,1,1,1,1,0.000286815404370145,0.0,363.3519841269817,1,1,235,0.0,1,1,thought_doctrine,0.0,1.6666666666666667,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_ae5c51eacd5c,呂碧城,Person,65,34,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,163,2,0.0,1,1,practice,0.0,1.5384615384615385,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_a4b632b98693,周宣德,BuddhistFigure,33,16,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,164,2,0.0,1,1,propagation_organization,0.0,3.0303030303030303,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_1643daea77be,善導寺,Institution,296,136,1,0,1,1,1,1,0.000286815404370145,0.0,247.90833333332964,1,6,77,0.0,1,1,propagation_organization,0.0,0.33783783783783783,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_7f817c6b4a99,嘉義圓福寺,Institution,74,69,1,0,1,1,1,1,0.000286815404370145,0.0,283.5123015872991,1,4,150,0.0,1,1,propagation_organization,0.0,1.3513513513513513,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_7e843ee1de71,嚴長壽,Person,38,22,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,155,2,0.0,1,1,propagation_organization,0.0,2.6315789473684212,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
